web-scraper-order,web-scraper-start-url,building_name,address,units,stories,year,type,neighborhood,amenities,buildings,buildings-href
"1533930817-461","http://yddevelopment.herokuapp.com/125buildings2.","House: 3 West 137th Street","3 West 137th Street, New York, NY, 10037","20 units","6 stories","Built in 1920","Multi-family","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 4","Building","https://streeteasy.com/building/3-West-137th-Street-10037"
"1533930811-459","http://yddevelopment.herokuapp.com/125buildings2.","Building: 2254 Fifth Avenue","2254 Fifth Avenue, New York, NY, 10037","16 units","6 stories","Built in 1920","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 4","Building","https://streeteasy.com/building/2254-5th-Avenue-10037"
"1533930072-263","http://yddevelopment.herokuapp.com/125buildings2.","Property: 224 West 135th Street","224 West 135th Street, New York, NY, 10030","6 units","3 stories","Built in 1910","Mixed-Use Building","Central Harlem","null","Building","https://streeteasy.com/building/224-West-135th-Street-10030"
"1533930186-297","http://yddevelopment.herokuapp.com/125buildings2.","Building: 114 West 137th Street","114 West 137th Street, New York, NY, 10030","20 units","5 stories","Built in 1910","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 5","Building","https://streeteasy.com/building/114-West-137th-Street-10030"
"1533930265-321","http://yddevelopment.herokuapp.com/125buildings2.","House: 144 West 136th Street","144 West 136th Street, New York, NY, 10030","3 units","3 stories","Built in 1899","Three-Family Home","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 5","Building","https://streeteasy.com/building/144-West-136th-Street-10030"
"1533929218-33","http://yddevelopment.herokuapp.com/125buildings2.","House: 203 West 139th Street","203 West 139th Street, New York, NY, 10030","4 units","4 stories","Built in 1926","Four-Family Home","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/203-West-139th-Street-10030"
"1533930182-296","http://yddevelopment.herokuapp.com/125buildings2.","Building: 118 West 137th Street","118 West 137th Street, New York, NY, 10030","20 units","5 stories","Built in 1910","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 5","Building","https://streeteasy.com/building/118-West-137th-Street-10030"
"1533930269-322","http://yddevelopment.herokuapp.com/125buildings2.","Building: 136 West 136th Street","136 West 136th Street, New York, NY, 10030","11 units","3 stories","Built in 1910","Condo","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 5","Building","https://streeteasy.com/building/136-West-136th-Street-10030"
"1533930103-272","http://yddevelopment.herokuapp.com/125buildings2.","Building: 2272 Adam C Powell Boulevard","2272 Adam C Powell Boulevard, New York, NY, 10030","4 units","5 stories","Built in 1920","Mixed-Use Building","Central Harlem","null","Building","https://streeteasy.com/building/2272-Adam-C-Powell-Blvd-10030"
"1533930370-351","http://yddevelopment.herokuapp.com/125buildings2.","House: 135 West 135th Street","135 West 135th Street, New York, NY, 10030","18 units","6 stories","Built in 1910","Multi-family","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 5","Building","https://streeteasy.com/building/135-West-135th-Street-10030"
"1533930936-496","http://yddevelopment.herokuapp.com/125buildings2.","House: 412 Lenox Avenue","412 Lenox Avenue, New York, NY, 10037","9 units","5 stories","Has tax abated units","Multi-family","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/412-Lenox-Avenue-10037"
"1533929346-71","http://yddevelopment.herokuapp.com/125buildings2.","House: 205 West 137th Street","205 West 137th Street, New York, NY, 10030","5 units","3 stories","Built in 1910","Multi-family","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/205-West-137th-Street-10030"
"1533929968-232","http://yddevelopment.herokuapp.com/125buildings2.","Building: 218 West 137th Street","218 West 137th Street, New York, NY, 10030","3 units","3 stories","Built in 1910","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/218-West-137th-Street-10030"
"1533930327-338","http://yddevelopment.herokuapp.com/125buildings2.","Building: 130 West 136th Street","130 West 136th Street, New York, NY, 10030","11 units","3 stories","Built in 1910","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 5","Building","https://streeteasy.com/building/130-West-136th-Street-10030"
"1533929418-86","http://yddevelopment.herokuapp.com/125buildings2.","Building: 225 West 137th Street","225 West 137th Street, New York, NY, 10030","8 units","3 stories","Built in 1910","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/225-West-137th-Street-10030"
"1533929952-227","http://yddevelopment.herokuapp.com/125buildings2.","Building: 232 West 137th Street","232 West 137th Street, New York, NY, 10030","11 units","3 stories","Built in 1910","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/232-West-137th-Street-10030"
"1533929541-116","http://yddevelopment.herokuapp.com/125buildings2.","House: 2449 Adam C Powell Boulevard","2449 Adam C Powell Boulevard, New York, NY, 10030","26 units","6 stories","Built in 1920","Multi-family","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 4","Building","https://streeteasy.com/building/2449-Adam-C-Powell-Blvd-10030"
"1533930887-482","http://yddevelopment.herokuapp.com/125buildings2.","Building: 80 West 132nd Street","80 West 132nd Street, New York, NY, 10037","3 units","3 stories","Built in 1910","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 5","Building","https://streeteasy.com/building/80-West-132nd-Street-10037"
"1533930709-434","http://yddevelopment.herokuapp.com/125buildings2.","Building: 118 West 131st Street","118 West 131st Street, New York, NY, 10027","4 units","3 stories","Has tax abated units","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/118-West-131st-Street-10027"
"1533930558-391","http://yddevelopment.herokuapp.com/125buildings2.","Building: 138 West 133rd Street","138 West 133rd Street, New York, NY, 10030","16 units","4 stories","Built in 1910","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/138-West-133rd-Street-10030"
"1533929092-1","http://yddevelopment.herokuapp.com/125buildings2.","Building: 311 West 139th Street","311 West 139th Street, New York, NY, 10030","9 units","3 stories","Built in 1899","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/311-West-139th-Street-10030"
"1533929292-55","http://yddevelopment.herokuapp.com/125buildings2.","House: 264 West 139th Street","264 West 139th Street, New York, NY, 10030","3 units","3 stories","Built in 1910","Three-Family Home","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/264-West-139th-Street-10030"
"1533929413-85","http://yddevelopment.herokuapp.com/125buildings2.","House: 223 West 137th Street","223 West 137th Street, New York, NY, 10030","5 units","3 stories","Built in 1910","Multi-family","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/223-West-137th-Street-10030"
"1533930705-433","http://yddevelopment.herokuapp.com/125buildings2.","Building: 124 West 131st Street","124 West 131st Street, New York, NY, 10027","11 units","3 stories","Built in 1910","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/124-West-131st-Street-10027"
"1533929647-145","http://yddevelopment.herokuapp.com/125buildings2.","Building: 103 West 141st Street","103 West 141st Street, New York, NY, 10030","42 units","6 stories","Built in 1920","Co-op","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 4","Building","https://streeteasy.com/building/103-West-141st-Street-10030"
"1533930081-266","http://yddevelopment.herokuapp.com/125buildings2.","Building: 258 West 135th Street","258 West 135th Street, New York, NY, 10030","10 units","3 stories","Built in 1910","Rental Building","Central Harlem","null","Building","https://streeteasy.com/building/258-West-135th-Street-10030"
"1533930387-356","http://yddevelopment.herokuapp.com/125buildings2.","Building: 187 West 135th Street","187 West 135th Street, New York, NY, 10030","5 units","5 stories","Built in 1910","Co-op","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 5","Building","https://streeteasy.com/building/187-West-135th-Street-10030"
"1533929532-114","http://yddevelopment.herokuapp.com/125buildings2.","House: 2465 Adam C Powell Boulevard","2465 Adam C Powell Boulevard, New York, NY, 10030","13 units","5 stories","Built in 1920","Multi-family","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 4","Building","https://streeteasy.com/building/2465-Adam-C-Powell-Blvd-10030"
"1533929826-190","http://yddevelopment.herokuapp.com/125buildings2.","Building: 108 West 139th Street","108 West 139th Street, New York, NY, 10030","15 units","5 stories","Built in 1910","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 5","Building","https://streeteasy.com/building/108-West-139th-Street-10030"
"1533929299-57","http://yddevelopment.herokuapp.com/125buildings2.","House: 258 West 139th Street","258 West 139th Street, New York, NY, 10030","6 units","3 stories","Built in 1910","Multi-family","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/258-West-139th-Street-10030"
"1533929113-5","http://yddevelopment.herokuapp.com/125buildings2.","House: 313 West 139th Street","313 West 139th Street, New York, NY, 10030","4 units","3 stories","Built in 1920","Four-Family Home","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/313-West-139th-Street-10030"
"1533930752-445","http://yddevelopment.herokuapp.com/125buildings2.","Building: 630 Lenox Avenue","630 Lenox Avenue, New York, NY, 10037","259 units","16 stories","Built in 1959","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

        Highlights
        
            
              
                
              
              
                
                  Elevator
                
              
            
            
              
                
              
              
                
                  Pets Allowed
                
              
            
        
          
              
                  Laundry in Building
              
              
                  Live-in Super
              
              
                  Parking Available
              
              
                      
      
    

              
          
            Location
          
              
                  NYC Storm Zone 4","Building","https://streeteasy.com/building/630-Lenox-Avenue-10037"
"1533930971-507","http://yddevelopment.herokuapp.com/125buildings2.","Building: 58 West 130 Th Street House (Astor","58 West 130th Street, New York, NY, 10037","4 units","3 stories","Built in 1910","Co-op","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/58-West-130th-Street-10037"
"1533930376-353","http://yddevelopment.herokuapp.com/125buildings2.","House: 145 West 135th Street","145 West 135th Street, New York, NY, 10030","18 units","6 stories","Built in 1910","Multi-family","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 5","Building","https://streeteasy.com/building/145-West-135th-Street-10030"
"1533930232-311","http://yddevelopment.herokuapp.com/125buildings2.","Building: 129 West 136th Street","129 West 136th Street, New York, NY, 10030","4 units","4 stories","Built in 1910","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 5","Building","https://streeteasy.com/building/129-West-136th-Street-10030"
"1533929651-146","http://yddevelopment.herokuapp.com/125buildings2.","Building: 111 West 141st Street","111 West 141st Street, New York, NY, 10030","59 units","5 stories","Built in 1926","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 4","Building","https://streeteasy.com/building/111-West-141st-Street-10030"
"1533929822-189","http://yddevelopment.herokuapp.com/125buildings2.","Building: 110 West 139th Street","110 West 139th Street, New York, NY, 10030","10 units","5 stories","Built in 1910","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 5","Building","https://streeteasy.com/building/110-West-139th-Street-10030"
"1533929891-209","http://yddevelopment.herokuapp.com/125buildings2.","House: 129 West 137th Street","129 West 137th Street, New York, NY, 10030","10 units","5 stories","Built in 1910","Multi-family","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 5","Building","https://streeteasy.com/building/129-West-137th-Street-10030"
"1533929306-59","http://yddevelopment.herokuapp.com/125buildings2.","Building: 244 West 139th Street","244 West 139th Street, New York, NY, 10030","3 units","3 stories","Built in 1899","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/244-West-139th-Street-10030"
"1533930633-413","http://yddevelopment.herokuapp.com/125buildings2.","Building: 127 West 131st Street","127 West 131st Street, New York, NY, 10027","4 units","3 stories","Built in 1910","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/127-West-131st-Street-10027"
"1533930395-358","http://yddevelopment.herokuapp.com/125buildings2.","Building: 2301 Adam C Powell Boulevard","2301 Adam C Powell Boulevard, New York, NY, 10030","5 units","5 stories","Built in 1910","Co-op","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 5","Building","https://streeteasy.com/building/2301-Adam-C-Powell-Blvd-10030"
"1533930212-305","http://yddevelopment.herokuapp.com/125buildings2.","House: 103 West 136th Street","103 West 136th Street, New York, NY, 10030","4 units","3 stories","Built in 1910","Four-Family Home","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 5","Building","https://streeteasy.com/building/103-West-136th-Street-10030"
"1533930660-421","http://yddevelopment.herokuapp.com/125buildings2.","House: 151 West 131st Street","151 West 131st Street, New York, NY, 10027","3 units","3 stories","Built in 1910","Three-Family Home","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/151-West-131st-Street-10027"
"1533930518-381","http://yddevelopment.herokuapp.com/125buildings2.","Property: 449 Lenox Avenue","449 Lenox Avenue, New York, NY, 10037","4 units","4 stories","Built in 1910","Mixed-Use Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/449-Lenox-Avenue-10037"
"1533929302-58","http://yddevelopment.herokuapp.com/125buildings2.","Building: 250 West 139th Street","250 West 139th Street, New York, NY, 10030","11 units","3 stories","Built in 1910","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/250-West-139th-Street-10030"
"1533929846-196","http://yddevelopment.herokuapp.com/125buildings2.","Building: 145 West 138th Street","145 West 138th Street, New York, NY, 10030","13 units","5 stories","Built in 1915","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 5","Building","https://streeteasy.com/building/145-West-138th-Street-10030"
"1533929811-186","http://yddevelopment.herokuapp.com/125buildings2.","Building: 118 West 139th Street","118 West 139th Street, New York, NY, 10030","10 units","5 stories","Built in 1910","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 5","Building","https://streeteasy.com/building/118-West-139th-Street-10030"
"1533929126-9","http://yddevelopment.herokuapp.com/125buildings2.","Property: 306 West 139th Street","306 West 139th Street, New York, NY, 10030","3 units","3 stories","Built in 1901","Mixed-Use Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/306-West-139th-Street-10030"
